Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086338,2018,07,13,13.9,1,Y
IDCJAC0010,086338,2018,07,14,15.5,1,Y
IDCJAC0010,086338,2018,07,15,13.8,1,Y
IDCJAC0010,086338,2018,07,16,12.6,1,Y
IDCJAC0010,086338,2018,07,17,17.5,1,Y
IDCJAC0010,086338,2018,07,18,15.2,1,Y
IDCJAC0010,086338,2018,07,19,17.6,1,Y
IDCJAC0010,086338,2018,07,20,12.1,1,Y
IDCJAC0010,086338,2018,07,21,14.0,1,Y
IDCJAC0010,086338,2018,07,22,14.8,1,Y
IDCJAC0010,086338,2018,07,23,15.4,1,Y
IDCJAC0010,086338,2018,07,24,15.6,1,Y
IDCJAC0010,086338,2018,07,25,15.7,1,Y
IDCJAC0010,086338,2018,07,26,15.1,1,Y
IDCJAC0010,086338,2018,07,27,19.5,1,Y
IDCJAC0010,086338,2018,07,28,18.6,1,Y
IDCJAC0010,086338,2018,07,29,14.6,1,Y
IDCJAC0010,086338,2018,07,30,12.6,1,Y
IDCJAC0010,086338,2018,07,31,16.2,1,Y
IDCJAC0010,086338,2018,08,01,14.8,1,Y
IDCJAC0010,086338,2018,08,02,16.1,1,Y
IDCJAC0010,086338,2018,08,03,18.4,1,Y
IDCJAC0010,086338,2018,08,04,15.3,1,Y
IDCJAC0010,086338,2018,08,05,17.6,1,Y
IDCJAC0010,086338,2018,08,06,13.8,1,Y
IDCJAC0010,086338,2018,08,07,14.8,1,Y
IDCJAC0010,086338,2018,08,08,16.0,1,Y
IDCJAC0010,086338,2018,08,09,15.4,1,Y
IDCJAC0010,086338,2018,08,10,20.0,1,Y
IDCJAC0010,086338,2018,08,11,14.7,1,Y
IDCJAC0010,086338,2018,08,12,14.8,1,Y
IDCJAC0010,086338,2018,08,13,14.9,1,Y
IDCJAC0010,086338,2018,08,14,16.7,1,Y
IDCJAC0010,086338,2018,08,15,18.4,1,Y
IDCJAC0010,086338,2018,08,16,14.7,1,Y
IDCJAC0010,086338,2018,08,17,15.9,1,Y
IDCJAC0010,086338,2018,08,18,13.8,1,Y
IDCJAC0010,086338,2018,08,19,11.9,1,Y
IDCJAC0010,086338,2018,08,20,12.4,1,Y
IDCJAC0010,086338,2018,08,21,12.4,1,Y
IDCJAC0010,086338,2018,08,22,14.0,1,Y
IDCJAC0010,086338,2018,08,23,16.0,1,Y
IDCJAC0010,086338,2018,08,24,15.4,1,Y
IDCJAC0010,086338,2018,08,25,15.2,1,Y
IDCJAC0010,086338,2018,08,26,14.7,1,Y
IDCJAC0010,086338,2018,08,27,12.9,1,Y
IDCJAC0010,086338,2018,08,28,11.2,1,Y
IDCJAC0010,086338,2018,08,29,12.5,1,Y
IDCJAC0010,086338,2018,08,30,16.7,1,Y
IDCJAC0010,086338,2018,08,31,16.0,1,Y
IDCJAC0010,086338,2018,09,01,13.4,1,Y
IDCJAC0010,086338,2018,09,02,12.3,1,Y
IDCJAC0010,086338,2018,09,03,13.1,1,Y
IDCJAC0010,086338,2018,09,04,19.5,1,Y
IDCJAC0010,086338,2018,09,05,20.2,1,Y
IDCJAC0010,086338,2018,09,06,20.6,1,Y
IDCJAC0010,086338,2018,09,07,15.1,1,Y
IDCJAC0010,086338,2018,09,08,17.5,1,Y
IDCJAC0010,086338,2018,09,09,18.1,1,Y
IDCJAC0010,086338,2018,09,10,18.0,1,Y
IDCJAC0010,086338,2018,09,11,24.2,1,Y
IDCJAC0010,086338,2018,09,12,18.5,1,Y
IDCJAC0010,086338,2018,09,13,19.7,1,Y
IDCJAC0010,086338,2018,09,14,22.7,1,Y
IDCJAC0010,086338,2018,09,15,13.7,1,Y
IDCJAC0010,086338,2018,09,16,14.0,1,Y
IDCJAC0010,086338,2018,09,17,18.1,1,Y
IDCJAC0010,086338,2018,09,18,20.3,1,Y
IDCJAC0010,086338,2018,09,19,14.7,1,Y
IDCJAC0010,086338,2018,09,20,17.4,1,Y
